,task,triggers,events,conditions,trial_window,,,,,,
0,lick_go_nogo,go; nogo,bar; bar_off; spout,free_reward,-2000;3000,,,,,,
1,lick_go_nogo_unconditionned,go; nogo,bar; bar_off; spout,free_reward,-2000;3000,,,,,,
2,lick_go_nogo_unconditionned_opto,go; nogo,bar; bar_off; spout,free_reward,-2000;3000,,,,,,
3,reaching_go_nogo,CS_Go; CS_NoGo,bar; bar_off; spout,error bar_off; reward bar_off; error free; reward free; button_press,-2000;3000,,,,,,
4,reaching_go_nogo_jc,CS_plus; CS_minus,bar; bar_off; spout,error bar_off; reward bar_off; error free; reward free; button_press,-2000;3000,,,,,,
5,reaching_go_nogo_opto_continuous,CS_Go; CS_NoGo,bar; bar_off; spout,s_nogo_sham; s_nogo_cs_onset; s_go_sham; s_go_cs_onset; s_go_bar_off; s_go_spout; s_go_error_sham; s_go_error_bar_off,-2000;3000,,,,,,
6,reaching_go_nogo_opto_sinusoid,CS_Go; CS_NoGo,bar; bar_off; spout,s_nogo_sham; s_nogo_cs_onset_2; s_nogo_cs_onset_8; s_nogo_cs_onset_32; s_go_sham; s_go_cs_onset_2; s_go_cs_onset_4; s_go_cs_onset_8; s_go_cs_onset_16; s_go_cs_onset_32,-2000;3000,,,,,,
7,reaching_go_nogo_opto_sinusoid_spout,CS_Go; CS_NoGo,bar; bar_off; spout,s_nogo_sham; s_nogo_cs_onset_2; s_nogo_cs_onset_8; s_nogo_cs_onset_32; s_go_sham; s_go_cs_onset_2; s_go_cs_onset_4; s_go_cs_onset_8; s_go_cs_onset_16; s_go_cs_onset_32,-2000;3000,,,,,,
8,reaching_go_nogo_reversal,CS_Go; CS_NoGo,bar; bar_off; spout,error bar_off; reward bar_off; error free; reward free; button_press,-2000;3000,,,,,,
9,reaching_go_nogo_reversal_incentive,CS_Go; CS_NoGo,bar; bar_off; spout,error bar_off; reward bar_off; error free; reward free; button_press,-2000;3000,,,,,,
10,reaching_go_nogo_touch_spout,CS_Go; CS_NoGo,bar; bar_off; spout,error bar_off; reward bar_off; error free; reward free; button_press,-2000;3000,,,,,,
11,reaching_test,us_deliver,bar; bar_off; spout,free_reward,-2000;3000,,,,,,
12,reaching_test_CS,CS_plus; CS_minus,bar; bar_off; spout,free_reward,-2000;3000,,,,,,s
13,reaching_yp,reward_presentation,bar; bar_off; spout,free_reward,-2000;3000,,,,,,
14,train_CSgo_US_coterminated,Go,bar; bar_off; spout,free_reward,-2000;3000,,,,,,
15,train_Go_CS-US_pavlovian,Go,bar; bar_off; spout,free_reward,-2000;3000,,,,,,
16,train_Go_CS-US_pavlovian_with_bar,CS_Go,bar; bar_off; spout,free_reward,-2000;3000,,,,,,
17,reaching_go_spout_cued_uncued,CS_Go,bar; bar_off; spout; hold_start,free_reward_timer; reward spout cued; reward bar cued; reward bar_off; reward spout uncued; reward bar uncued; reward free; reward free_uncued,-2000;3000,,,,,,
18,pavlovian_nobar_nodelay,CS_Go,bar; bar_off; spout,,-2000;3000,,,,,,
19,cued_uncued_oct22,Cued; UnCued,bar; bar_off; spout; reward_delay_timer,delayed reward spout cued; delayed reward spout uncued; error_trial; reward free_uncued; reward free; reward bar_off; reward bar uncued; button_press,-2000;3000,,,,,,
20,go_rewarding_aversive,Go_water; Go_air,bar; bar_off; spout,free_reward; Go_water spout success; Go_air spout success; Go_air spout miss; Go_water bar success; Go_air bar success; spout,-2000;3000,,,,,,
21,reaching_go_spout_nov22,busy_win,bar; bar_off; spout; US_end_timer,US_end_timer; water_on; Success:True; Success:False; busy_win; spout; button_press; hold_timer,-3000;3000,,,,,,
22,reaching_go_spout_nov22_timewin,waiting_for_spout,bar; bar_off; spout; button_release; US_end_timer,US_end_timer; water by bar_off; water by spout; water for free; water success; water_on; busy_win_timer; spout; button_press; waiting_for_spout,-3000;3000,,,,,,
23,reaching_go_spout_bar_nov22,hold_for_water,bar; bar_off; spout; US_end_timer,break_after_abort; US_end_timer; water_on; water by bar_off; water by spout; water for free; water success; busy_win_timer; spout; button_press; waiting_for_spout,-3000;3000,,,,,,
24,reaching_go_spout_bar_dual_dec22,hold_for_water,bar; bar_off; spout; US_end_timer,Go_to_get_water; US_end_timer; break_after_abort; water_on; water by bar_off; water by spout; water for free; water success; button_press; busy_win_timer; spout; waiting_for_spout,-3000;3000,,,,,,
,reaching_go_spout_bar_dual_all_reward_dec22,hold_for_water; hold_for_air,bar; bar_off; spout; US_end_timer,Go_to_get_water; US_end_timer; break_after_abort; water_on; water by bar_off; water by spout; water for free; water success; button_press; error_trial; busy_win_timer; spout; hold_timer,-3000;3000,,,,,,
,reaching_go_spout_incr_break2_nov22,busy_win,bar; bar_off; spout; US_end_timer,spout; US_end_timer; button_press; busy_win,-3000;3000,,,,,,
21,reaching_go_spout_feb23,bar_off; spout; US_end_timer,bar; bar_off; spout; US_end_timer,US_end_timer; water_on; Success:True; Success:False; busy_win; spout; button_press; hold_timer,-3000;3000,,,,,,
,reaching_go_spout_bar_mar23,hold_for_water,bar; bar_off; spout; US_end_timer,break_after_abort; US_end_timer; water_on; water by bar_off; water by spout; water for free; water success; busy_win_timer; spout; button_press; waiting_for_spout,-3000;3000,,,,,,
,reaching_go_spout_bar_apr23,hold_for_water,bar; bar_off; spout; US_end_timer,Go_to_get_water; US_end_timer; break_after_abort; water_on; water by bar_off; water by spout; water for free; water success; button_press; busy_win_timer; spout; waiting_for_spout,-3000;3000,,,,,,
,pavlovian_spontanous_reaching_march23,US_timer,spout; spout_off,button_press; US_timer; US_end_timer,0;2000,,,,,,
